Name,Gen,Description
Ability Capsule,VI,Allows a Pokémon with two Abilities to switch between these Abilities.
Ability Patch,VIII,"Allows a Pokémon to change its standardAbilityto itsHidden Ability, or its Hidden Ability to its first Ability slot*."
Ability Shield,IX,Prevents the holder'sAbilityfrom being changed by other Pokémon.
Ability Urge,V,Activates the Ability of an ally Pokémon.Wonder Launcheronly.
Abomasite,VI,AllowsAbomasnowtoMega Evolveinto Mega Abomasnow.
Abra Candy,VII,Increase all stats of a member of theAbrafamily by oneAVpoint.
Absolite,VI,AllowsAbsoltoMega Evolveinto Mega Absol.
Absorb Bulb,V,Raises the holder'sSpecial Attackafter being hit by aWater-typeattack. Consumed after use.
Academy Ball,IX,One of the balls the player and their Pokémon can play with during apicnic.
Academy Bottle,IX,One of the water bottles the player can use during apicnic.
Academy Chairs,IX,One of the chair sets the player can use during apicnic.
Academy Cup,IX,One of the cups the player can use during apicnic.
Academy Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Acro Bike,III,A bicycle with which theplayercan do tricks such as jump sideways.
Adamant Crystal,VIII,SwitchesDialgabetween itsnormal form and Origin Forme.
Adamant Mint,VIII,Changes a Pokémon'sNatureto Adamant.
Adamant Orb,IV,BoostsDialga'sSteel- andDragon-typeattacks.
Adrenaline Orb,VII,"When used, makeswild Pokémonmore likely to call allies for help in anSOS Battle. Is not consumed if it fails. If the holder is affected byIntimidate, its Speed is increased by one stage."
Adventure Guide,VI,Contains information new Trainers should know.
Aerodactylite,VI,AllowsAerodactyltoMega Evolveinto Mega Aerodactyl.
Aerodactyl Candy,VII,Increase all stats of a member of theAerodactylfamily by oneAVpoint.
Aggronite,VI,AllowsAggrontoMega Evolveinto Mega Aggron.
Aguav Berry,III,"WhenHPfalls below 25%, restores 50% HP, but confuses Pokémon that dislikebitterfood (12.5% when below 50% beforeGen. VII)."
Air Balloon,V,Gives the holder an immunity to Ground-type moves but is popped when the holder is hit by any non-Ground-type attacks.
Air Mail,IV,A red- and blue-striped stationery. To be held by a Pokémon for delivery.
Alakazite,VI,AllowsAlakazamtoMega Evolveinto Mega Alakazam.
Aloraichium Z,VII,AllowsAlolanRaichuto upgradeThunderboltto the specialZ-MoveStoked Sparksurfer.
Altarianite,VI,AllowsAltariatoMega Evolveinto Mega Altaria.
Amaze Mulch,VI,"Combines the effects ofBoost Mulch,Rich Mulch, andSurprise Mulch: Causes an applied Berry patch's soil to dry quicker, increases final Berry harvest by 2 Berries, and makes Berrymutationsmore likely."
Ampharosite,VI,AllowsAmpharostoMega Evolveinto Mega Ampharos.
Amulet Coin,II,Doubles the earned money after a battle against aTrainer.
Antidote,I,Heals thepoisoningof a Pokémon.
Apicot Berry,III,Raises Special Defense when HP is below ⅓.
Apple,IX,An ingredient forsandwiches.
Apricorn,VIII,Used to craft Poké Balls inHisui.
Apricorn Box,IV,ContainsApricorns.
Aqua Suit,VI,Allows the player to rideKyogrein theCave of Originand fly into space onRayquaza.
Armor Fossil,IV,A Fossil from which aShieldoncan be resurrected.
Armor Pass,VIII,Allows access to theIsle of ArmorfromWedgehurstrailway station.
Armorite Ore,VIII,A secondary form of currency inGalarto access extra content in theIsle of Armor.
Articuno Candy,VII,Increase all stats of a member of theArticunofamily by oneAVpoint.
Articuno Treat,IX,Allows theplayerto encounterArticunoin theTerarium.
Aspear Berry,III,Removes thefrozencondition from a Pokémon.
Assault Vest,VI,Raises Sp. Def but prevents the use of status moves.
Audinite,VI,AllowsAudinotoMega Evolveinto Mega Audino.
AuroraTicket,III,Event item that allows player to catchDeoxys.
Auspicious Armor,IX,Used to evolveCharcadetintoArmarouge.
Autograph,VII,Reward for defeatingLt. Surge.
Aux Evasion,VIII,Makes moves less likely to strike during battle.
Aux Guard,VIII,Raises a Pokémon's defensive stats during battle.
Aux Power,VIII,Raises a Pokémon's offensive stats during battle.
Aux Powerguard,VIII,Raises a Pokémon's offensive and defensive stats during battle.
Avocado,IX,An ingredient forsandwiches.
Awakening,I,Awakens asleepingPokémon.
Azelf's Fang,VIII,One of the items used to obtain theRed Chain.
Azure Flute,IV,Key Item used to access theHall of Originand faceArceus. Unobtainable beforeGeneration VIII.
B&W Grass Chairs,IX,One of the chair sets the player can use during apicnic.
B&W Grass Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Babiri Berry,IV,Reduces damage from a super effective Steel-type move by 50%.
Bach's Food Tin,VIII,Ingredient forcurry.
Bacon,IX,An ingredient forsandwiches.
Baguette,IX,An ingredient forsandwiches.
Ball of Mud,VIII,Used to stun Pokémon and craftSticky GlobsinHisui.
Balm Mushroom,V,Can be sold for$25000.Note:Formatted asBalmMushroominGeneration V.
Band Autograph,VIII,Unobtainable during normal gameplay.
Banana,IX,An ingredient forsandwiches.
Banettite,VI,AllowsBanettetoMega Evolveinto Mega Banette.
Barred Cup,IX,One of the cups the player can use during apicnic.
Basculegion Food,VIII,Used to befriend the rideable Basculegion.
Basement Key,II,Allows the player to access the basement of theGoldenrod Tunnel.
Basement Key,III,Allows the player to accessNew Mauville.
Basil,IX,An ingredient forsandwiches.
Battle Chairs,IX,One of the chair sets theplayercan use during apicnic.
Battle Tablecloth,IX,One of the tablecloths theplayercan use during apicnic.
Beach Glass,VII,Can be sold for$400.
Bead Mail,III,A bead-printed stationery. To be held by a Pokémon for delivery.
Bean Cake,VIII,Used to attract certain Pokémon.
Beast Ball,VII,Allows theplayerto catchwild Pokémon; works better onUltra Beasts.
Beedrillite,VI,AllowsBeedrilltoMega Evolveinto Mega Beedrill.
Bellsprout Candy,VII,Increase all stats of a member of theBellsproutfamily by oneAVpoint.
Belue Berry,III,PoffinandPokéblockingredient.
Berry,II,Restores 10 HP. A Pokémon can use it automatically if it is holding it.
Berry Juice,II,Restores 20 HP.
Berry Pots,IV,Allows Berry growth while traveling.
Berry Pouch,III,Holds Berries.
Berry Sweet,VIII,WhenMilceryevolves holding this theAlcremiewill have the Berry Sweet decoration.
Berserk Gene,II,Confuses the holder and raises Attack.
Bicycle,I,"Can be used to travel quickly. Cannot be ridden in swamps, or in very tall grass. Known asBikeinGeneration IVonwards."
Big Bamboo Shoot,IX,"Can be sold for$1,500."
Big Malasada,VII,"Used to healpoison,paralysis,sleep,burn,freeze, andconfusion."
Big Mushroom,II,Can be sold for$2500.
Big Nugget,V,Can be sold for$30000.
Big Pearl,II,Can be sold for$3750.
Big Root,IV,Increases the amount ofHPrestored when an HP-draining move is used by 30%.
Bike Voucher,I,Used to pay for a Bicycle.
Binding Band,V,Increases the end of turn damage of binding moves from 1/16 to ⅛ of the target's maximum HP.
Bitter Berry,II,Healsconfusion.
Bitter Herba Mystica,IX,An ingredient forsandwiches.
Black Apricorn,II,"If taken toKurt, he will make the player aFast Ball. Also, Apricorn Drink ingredient.Note:Formatted asBlk Apricornprior to Generation VI."
Black Augurite,VIII,Used to evolveScytherintoKleavor.
Black Belt,II,Raises the power ofFighting-typemoves.Note:Formatted asBlackbeltinGeneration II.
Black Flute,III,Repelswild Pokémon.RSEFRLGDPPtHGSSCan be sold for$8000.BWB2W2Increases the level of wild Pokémon by one to three levels.ORAS
Black Glasses,II,Raises the power ofDark-typemoves.Note:Formatted asBlackGlassesprior toGeneration VI.
Black Mane Hair,VIII,Used with aRadiant Petalto create theReins of Unity.
Black Sludge,IV,Restores 1/16 of the Pokémon's maximum HP each turn when held by Poison-type Pokémon; damages all other types by ⅛ of maximum HP each turn.
Black Tumblestone,VIII,"Used to craftHeavy,Leaden, andGigaton BallsinHisui."
Blank Plate,VIII,ChangesArceusand the moveJudgmenttoNormal-type.
Blastoisinite,VI,AllowsBlastoisetoMega Evolveinto Mega Blastoise.
Blazikenite,VI,AllowsBlazikentoMega Evolveinto Mega Blaziken.
Bloom Mail,IV,A flower-printed stationery. To be held by a Pokémon for delivery.
Blue Apricorn,II,"If taken toKurt, he will make the player aLure Ball. Also, Apricorn Drink ingredient.Note:Formatted asBlu Apricornprior to Generation VI."
Blueberry Chairs,IX,One of the chair sets the player can use during apicnic.
Blueberry Tablecloth,IX,One of the tablecloth sets the player can use during apicnic.
Blue Bottle,IX,One of the water bottles the player can use during apicnic.
Blue Card,II,Allows player to answer daily question onBuena's show to get points exchangeable for items.
Blue Chairs,IX,One of the chair sets the player can use during apicnic.
Blue Cup,IX,One of the cups the player can use during apicnic.
Blue Dish,IX,One of the dishes the player can use to make asandwichon.
Blue-Flag Pick,IX,One of the picks the player can use to make asandwich.
Blue Flute,III,"AwakenssleepingPokémon when used, can be used an unlimited number of times. May be used in battle or in the field.RSEFRLGColoXDDPPtHGSSORASCan be sold for$7000.BWB2W2"
Blue Orb,III,Used to awakenKyogre. It also turnsKyogreintoPrimalKyogreduring battle when holding the item.ORAS
Blue Petal,VII,A blue petal required to complete Mina's Trial.
Blue Poké Ball Pick,IX,One of the picks the player can use to make asandwich.
Blue Scarf,III,Raises theBeautifulcondition.
Blue Shard,III,Exchangeable for a variety of services.
Blue-Sky Flower Pick,IX,One of the picks the player can use to make asandwich.
Bluesky Mail,IV,A sky-print mail. To be held by a Pokémon for delivery.
Blue Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Blu ID Badge,III,One of four keys needed to unlock the north door ofRealgam Tower.
Bluk Berry,III,PoffinandPokéblockingredient.
Blunder Policy,VIII,"If a move misses due toAccuracy, the user'sSpeedis increased."
Bob's Food Tin,VIII,Ingredient forcurry.
Boiled Egg,VIII,Ingredient forcurry.
Bold Mint,VIII,Changes a Pokémon'sNatureto Bold.
Bonsly Card,III,Allows play of the card inBattle Bingo.
Bonsly Photo,III,TheBattle Bingoprize for winning/using the Bonsly Card.
Boost Mulch,VI,"When applied to a Berry patch, causes the soil to dry out in 4 hours."
Booster Energy,IX,"ActivatesProtosynthesiswhenharsh sunlightis not active, orQuark DrivewhenElectric Terrainis not active."
Bottle Cap,VII,Can be traded toMr. Hyperto maximize one of a Pokémon'sIVsinHyper Training.
Brave Mint,VIII,Changes a Pokémon'sNatureto Brave.
Bread,VIII,Ingredient forcurry.
Briar's Book,IX,"Can be given toProfessorSadaSorTuroV, in exchange for their copy of theScarlet BookS/Violet BookV."
Brick Mail,IV,A brick pattern stationery. To be held by a Pokémon for delivery.
Brick Piece,II,Can be sold for$50.
Bridge Mail D,V,Stationary with a red drawbridge print. To be held by a Pokémon for delivery.Note:Formatted asBridgeMail Dprior to Generation VI.
Bridge Mail M,V,Stationary with an arched bridge print. To be held by a Pokémon for delivery.Note:Formatted asBridgeMail Mprior to Generation VI.
Bridge Mail S,V,Stationary with a sky-piercing bridge print. To be held by a Pokémon for delivery.Note:Formatted asBridgeMail Sprior to Generation VI.
Bridge Mail T,V,Stationary with a steel suspension bridge print. To be held by a Pokémon for delivery.Note:Formatted asBridgeMail Tprior to Generation VI.
Bridge Mail V,V,Stationary with a brick bridge print. To be held by a Pokémon for delivery.Note:Formatted asBridgeMail Vprior to Generation VI.
Bright Powder,II,Lowers the opponent's accuracy.Note:Formatted asBrightPowderprior to Generation VI.
Brittle Bones,VIII,Ingredient forcurry.
Bronze Bottle,IX,One of the water bottles the player can use during apicnic.
Bronze Cup,IX,One of the cups the player can use during apicnic.
Bubble Mail,IV,Stationery with a bubble print. To be held by a Pokémon for delivery.
Bug Gem,V,"Increases the power of the holder's firstBug-typemove by 50%, and is consumed after use."
Bug Memory,VII,MakesSilvallyaBug-typePokémon and makesMulti-Attacka Bug-type move.
Bug Tera Shard,IX,Used to change theTera Typeof a Pokémon toBugtype.
Buginium Z,VII,Allows a Pokémon to upgrade theirBug-typedamaging moves to theZ-MoveSavage Spin-Outor upgrade their Bug-type status moves into Z-Moves. MakesArceusa Bug-type Pokémon.
Bugwort,VIII,Used to craft items inHisui.
Bulbasaur Candy,VII,Increase all stats of a member of theBulbasaurfamily by oneAVpoint.
Burn Drive,V,MakesTechno BlastaFire-typemove when held byGenesect.
Burn Heal,I,Heals aburn.
Burnt Berry,II,Thaws out afrozenPokémon.
Butter,IX,An ingredient forsandwiches.
Cake-Lure Base,VIII,Used to craft cake items inHisui.
Calcium,I,Raises theSpecial Attackof a Pokémon.
Calm Mint,VIII,Changes a Pokémon'sNatureto Calm.
Cameruptite,VI,AllowsCamerupttoMega Evolveinto Mega Camerupt.
Camping Gear,VIII,Allows the player to set up aPokémon Camp.
Candy Truffle,VIII,"Used to craftAux Evasion,Dire HitsandSwap SnacksinHisui."
Carbos,I,Raises theSpeedof a Pokémon.
Card Key,I,Allows the player to access more rooms in theSilph Co.headquarters.
Card Key,II,Allows the player to access the third floor ofRadio Towerwhile it is under siege byTeam Rocket.
Card Key,III,Allows the player to access the east wing of theShadow PKMN Lab.
Careful Mint,VIII,Changes a Pokémon'sNatureto Careful.
Carrot Seeds,VIII,Can be planted by the player to obtain theIceroot Carrotor theShaderoot Carrot.
Casteliacone,V,Cures anystatus condition.
Caster Fern,VIII,Used for crafting items inHisui.
Catching Charm,VIII,Increases the chance of acritical catch.
Caterpie Candy,VII,Increase all stats of a member of theCaterpiefamily by oneAVpoint.
Celestica Flute,VIII,Summons rideable Pokémon in Hisui.
Cell Battery,V,Raises the holder'sAttackone stage when hit with an Electric-type attack. Consumed after use.
Chalky Stone,VII,Can be sold for$30.
Chansey Candy,VII,Increase all stats of a member of theChanseyfamily by oneAVpoint.
Charcoal,II,Raises the power ofFire-typemoves.
Charizardite X,VI,AllowsCharizardtoMega Evolveinto Mega Charizard X.
Charizardite Y,VI,AllowsCharizardtoMega Evolveinto Mega Charizard Y.
Charmander Candy,VII,Increase all stats of a member of theCharmanderfamily by oneAVpoint.
Charti Berry,IV,Reduces damage from asuper effectiveRock-typemove by 50%.
Cheese,IX,An ingredient forsandwiches.
Cheri Berry,III,Healsparalysis.
Cherish Ball,IV,A special type of Poké Ball in whichevent Pokémonare usually distributed.
Cherry Tomatoes,IX,An ingredient forsandwiches.
Chesto Berry,III,Awakens a Pokémon fromsleep.
Chilan Berry,III,Pokéblockingredient.
Chilan Berry,IV,Reduces damage from aNormal-typemove by 50%.
Chili Sauce,IX,An ingredient forsandwiches.
Chill Drive,V,MakesTechno BlastanIce-typemove when held byGenesect.
Chipped Pot,VIII,Causes an Antique FormSinisteato evolve intoPolteageist.
Choice Band,III,"Raises user'sAttack, but they can only use one move."
Choice Dumpling,VIII,Can be used to make a Pokémon fixated on one move while raising the damage dealt from that move and damage taken from others.
Choice Scarf,IV,"Raises user'sSpeed, but they can only use one move."
Choice Specs,IV,"Raises user'sSpecial Attack, but they can only use one move."
Chople Berry,IV,Reduces damage from asuper effectiveFighting-typemove by 50%.
Chorizo,IX,An ingredient forsandwiches.
Claw Fossil,III,A Fossil from which anAnorithcan be resurrected.
Cleanse Tag,III,RepelsPokémonif the holder is first in the party.
Clear Amulet,IX,Prevents the holder from having its stats lowered bymovesorAbilities.
Clear Bell,II,SummonsSuicuneCorHo-OhHGOR.
Clefairy Candy,VII,Increase all stats of a member of theClefairyfamily by oneAVpoint.
Clever Feather,V,Raises theSpecial Defenseof a Pokémon.Note:Known asClever Wingprior to Generation VIII.
Clever Mochi,IX,Increases a Pokémon'sSp. DefEVsby 10.
Clover Sweet,VIII,WhenMilceryevolves holding this theAlcremiewill have the Clover Sweet decoration.
Coba Berry,IV,Reduces damage from asuper effectiveFlying-typemove by 50%.
Cobalion Treat,IX,Allows theplayerto encounterCobalionin theTerarium.
Coconut Milk,VIII,Ingredient forcurry.
Coin Case,I,A Key Item that stores the coins collected at the localGame Corner.
Colbur Berry,IV,Reduces damage from asuper effectiveDark-typemove by 50%.
Cologne Case,III,HoldsScents.
Colress Machine,V,A special device that wrings out the potential of Pokémon. It is an imperfect prototype.Note:Formatted asColress MCHNprior to Generation VI.
Comet Shard,V,Can be sold for$60000.
Common Stone,VI,Not available without cheating. Currently has no use.
Contest Costume,VI,Worn duringPokémon Contest Spectacularperformances.
Contest Pass,III,Allows theplayerto enter Contests.
Cornerstone Mask,IX,ChangesOgerponinto itsCornerstone Mask formwhen held. It increases thepowerof its moves by 20%.
Cornn Berry,III,PoffinandPokéblockingredient.
Coupon 1,IV,Used to obtain thePokétchinJubilife City.
Coupon 2,IV,Used to obtain thePokétchinJubilife City.
Coupon 3,IV,Used to obtain thePokétchinJubilife City.
