shadowball, 99.58698135933895%
protect, 99.18990877952749%
trickroom, 89.13390931225777%
heatwave, 88.75524120951852%
flamethrower, 11.232478570249286%
willowisp, 8.877816617783745%
taunt, 2.308959024602455%
overheat, 0.5077710135213074%
energyball, 0.2801104128594428%
burningjealousy, 0.04449305533224398%
psychic, 0.031264706287584716%
terablast, 0.028120849658633245%
clearsmog, 0.018760111188176883%
hex, 0.00192232941272855%

lifeorb, 87.04117391991242%
focussash, 11.752348543864288%
sitrusberry, 1.0307626926825428%
charcoal, 0.07052741394284003%
colburberry, 0.050239883276859174%

flashfire, 99.99719756975412%
flamebody, 0.0015216706096845146%
infiltrator, 0.0012807596362357455%

Modest:20/0/4/252/4/228, 41.02478693505739%
Modest:108/0/20/116/12/252, 20.770518181225597%
Modest:92/0/0/252/0/164, 12.596189699767956%
Timid:0/0/0/252/4/252, 8.3513434232761%
Modest:148/0/4/252/4/100, 6.299287116643589%
Modest:0/0/4/252/0/252, 3.8961709386015917%
Modest:4/0/0/252/0/252, 1.3158518335280627%
Timid:32/0/0/224/0/252, 1.2484985424963082%
Bold:244/0/188/4/28/44, 0.7248500962984438%

