protect, 99.9601805383958%
suckerpunch, 98.42090628161239%
iciclecrash, 73.2446673973029%
sacredsword, 61.54342462305961%
throatchop, 32.83670591331083%
icespinner, 26.750372837726278%
crunch, 3.4339801243216637%
lashout, 2.7939931370741298%
iceshard, 0.5235564875334574%
taunt, 0.3325111796473535%
terablast, 0.09430087706195912%
icywind, 0.03289695875700101%
snarl, 0.022110965971171535%
sheercold, 0.0034702454810952425%

focussash, 96.94295210367552%
lifeorb, 2.2894304238215404%
clearamulet, 0.7242224999037906%
assaultvest, 0.022971763815885282%
choiceband, 0.010510781818453429%

swordofruin, 100.0%

Jolly:0/252/4/0/0/252, 44.00488368890088%
Adamant:0/252/4/0/0/252, 16.518059208323578%
Adamant:0/252/0/0/4/252, 13.660754215605214%
Jolly:0/252/0/0/4/252, 13.125173085553099%
Jolly:4/252/0/0/0/252, 5.334029814362081%
Adamant:4/252/0/0/0/252, 3.8610514884325307%
Jolly:28/172/4/0/52/252, 1.4180717412561918%
Jolly:12/236/4/0/4/252, 0.4376128548176013%
Adamant:0/236/20/0/0/252, 0.41333792297862626%

