followme, 99.99697461457909%
protect, 98.40481440992754%
helpinghand, 70.95837539232606%
sing, 37.371095263552775%
healpulse, 31.38700326714986%
afteryou, 17.707590783401702%
icywind, 16.411654918842796%
moonblast, 14.095211466307648%
lifedew, 9.729389591138213%
nightshade, 1.095289067175766%
mistyterrain, 0.9624282113956047%
lightscreen, 0.4787449773781268%
alluringvoice, 0.34538051073281417%
endeavor, 0.31498554746087043%

eviolite, 99.85387684015535%
focussash, 0.14610508621719287%
leftovers, 1.734859163575716e-05%
mentalherb, 7.127873747520141e-07%
sitrusberry, 8.070341383218775e-09%

friendguard, 99.82626158736247%
cutecharm, 0.14647309613263276%
magicguard, 0.027265316504876742%

Calm:252/0/140/0/116/0, 26.505259925791368%
Relaxed:252/0/252/0/4/0, 22.658364726714673%
Bold:252/0/252/0/4/0, 15.591460141947607%
Sassy:252/0/188/0/68/0, 4.153496765335732%
Relaxed:252/0/180/0/76/0, 2.001514518895378%
Calm:252/0/188/0/68/0, 1.985658819225946%
Bold:252/0/220/0/36/0, 1.7968926652222474%
Sassy:252/0/140/0/116/0, 1.730731165051961%
Relaxed:252/0/220/0/36/0, 1.4335731852930773%

