, 299.99999999999756%
transform, 100.0%

choicescarf, 84.05124773027701%
safetygoggles, 8.331706407590033%
focussash, 3.232754244836393%
sitrusberry, 2.672631133344238%
brightpowder, 0.6834981850150005%

imposter, 99.82292494547383%
limber, 0.17707505452621222%

Timid:252/0/4/0/0/252, 14.083728309642494%
Jolly:252/0/4/0/0/252, 13.689364426159775%
Timid:252/0/0/0/4/252, 13.157671931954138%
Sassy:252/0/116/0/140/0, 8.043934308584488%
Jolly:252/0/0/0/0/252, 7.329103080321738%
Hardy:252/0/0/0/0/0, 6.568876666216203%
Sassy:252/0/4/0/252/0, 6.405221855368948%
Jolly:252/0/0/0/4/252, 5.636233998012951%
Relaxed:252/0/252/0/4/0, 4.059968491169125%

