trickroom, 99.88072588149535%
helpinghand, 84.72380716266227%
foulplay, 76.93473265497316%
psychic, 61.0639836118686%
hypervoice, 19.93018659121057%
protect, 13.301088908294611%
terablast, 12.007354787328126%
psychicnoise, 10.552104784290407%
psyshock, 7.467623093635124%
dazzlinggleam, 3.6112642543310933%
shadowball, 2.20917539182518%
uproar, 2.1311592530109373%
imprison, 1.5102142628392747%
nastyplot, 0.9387107915986996%

electricseed, 57.79056630532262%
safetygoggles, 15.362106715386407%
throatspray, 12.506578936805019%
sitrusberry, 11.326844037236691%
lifeorb, 0.8488251288867081%

armortail, 99.86707815493648%
cudchew, 0.1322010151029206%
sapsipper, 0.0007208299606297442%

Calm:252/0/252/0/4/0, 11.817320956796582%
Bold:116/0/252/0/140/0, 6.4572303971674465%
Bold:204/0/164/0/140/0, 6.222930532260404%
Bold:180/0/236/0/92/0, 4.55264451491362%
Bold:228/0/252/12/4/12, 3.710377300309737%
Calm:244/0/12/4/236/12, 2.9493537212605783%
Bold:220/0/244/36/4/4, 2.4715347817487454%
Bold:252/0/156/0/100/0, 2.1712800351460886%
Sassy:180/0/156/0/172/0, 2.1578897562294097%

