fakeout, 99.75164433379578%
helpinghand, 92.0740610393097%
foulplay, 90.17316162524102%
taunt, 87.70970356007892%
protect, 9.696922558760305%
trickroom, 8.411920698424861%
psychicnoise, 6.109630248030224%
psychic, 2.9366055601592946%
healpulse, 1.716563221213162%
thunderwave, 0.9352199633294813%
gravity, 0.22896797316567666%
hypnosis, 0.2093500055069405%
psyshock, 0.021295760931240876%
expandingforce, 0.0072967794184336686%

covertcloak, 77.75307691470195%
safetygoggles, 13.915174919169186%
sitrusberry, 3.876165066668151%
electricseed, 1.5522993945506702%
mentalherb, 1.477757930480835%

shadowtag, 99.97582385769392%
frisk, 0.024127873207433776%
competitive, 4.8269098660969166e-05%

Impish:252/4/196/0/4/52, 17.524021415054094%
Timid:252/0/4/0/0/252, 16.663427742676927%
Timid:252/0/0/0/4/252, 16.09347271632978%
Jolly:252/0/0/0/4/252, 13.265445775420176%
Calm:252/0/180/0/76/0, 7.652877019320406%
Jolly:220/4/60/0/4/220, 3.5746209412661614%
Bold:252/0/4/0/0/252, 3.0195092233894205%
Jolly:244/4/4/0/4/252, 2.795372801259139%
Bold:220/0/36/0/0/252, 1.9511590273152954%

