followme, 99.9908938823342%
helpinghand, 95.21535598279068%
trickroom, 94.08422967060488%
imprison, 31.505007063817253%
alluringvoice, 24.251126943510464%
dazzlinggleam, 14.180582912323942%
psychic, 13.952380070471285%
psyshock, 11.754166420451229%
protect, 6.015308789940255%
shadowball, 4.3174231981655256%
healpulse, 3.137529956197164%
fakeout, 0.7385772227912526%
terablast, 0.2989203704988222%
healingwish, 0.15017371666975837%

psychicseed, 67.07629964176044%
rockyhelmet, 18.17411946359591%
safetygoggles, 13.181863516620625%
focussash, 0.5023427769123079%
sitrusberry, 0.44935664698901234%

psychicsurge, 99.96942114877716%
owntempo, 0.029808992222424557%
synchronize, 0.0007698590003389866%

Bold:252/0/252/0/4/0, 52.288041801190154%
Relaxed:252/0/252/0/4/0, 27.613459012508994%
Bold:244/0/252/4/4/4, 3.1717894822612247%
Calm:252/0/220/0/36/0, 2.5387752518816367%
Relaxed:236/0/236/0/36/0, 2.4704251900306984%
Bold:252/0/196/0/60/0, 1.2308706553318751%
Bold:252/0/236/0/20/0, 0.8063210213247065%
Bold:252/0/252/0/0/4, 0.7820049975519935%
Bold:252/0/252/4/0/0, 0.753742210857181%

