sludgebomb, 99.93300996587826%
earthpower, 98.92321089458153%
protect, 82.17293545725367%
sandsearstorm, 53.42531110401908%
substitute, 44.19374561058812%
uturn, 17.757873702448233%
taunt, 2.202298745293105%
weatherball, 0.6297021864046176%
calmmind, 0.2732596854206409%
sludgewave, 0.2240114299492891%
psychic, 0.12611264041988415%
terablast, 0.042640410741079174%
nastyplot, 0.027124340905615125%
crunch, 0.025349897220886795%

lifeorb, 81.73499478582549%
choicescarf, 17.810393967515015%
expertbelt, 0.45031685212757%
covertcloak, 0.0014127492088905813%
choicespecs, 0.0011372659464367124%

sheerforce, 99.35507086236363%
sandforce, 0.6449291376362704%

Modest:4/0/0/252/0/252, 24.583083922911715%
Timid:4/0/0/252/0/252, 16.08774613798331%
Timid:0/0/0/252/4/252, 8.961652489316139%
Timid:52/0/4/180/20/252, 3.9456937210176797%
Modest:132/0/4/116/4/252, 3.6697012467110204%
Timid:84/0/44/212/12/156, 3.5163750727158245%
Modest:20/0/4/252/4/228, 3.1296957869797644%
Modest:116/0/4/132/4/252, 2.8263214692890726%
Timid:116/0/20/212/4/156, 2.492478557151205%

