closecombat, 99.97929390813098%
fakeout, 99.90980649104169%
wideguard, 95.177594372884%
feint, 94.10290617382972%
knockoff, 5.196677762075919%
upperhand, 3.639210259370456%
taunt, 1.6510948693645313%
coaching, 0.20889580286437312%
poisonjab, 0.05988512745925816%
uturn, 0.044872404512385757%
tripleaxel, 0.010485707485058931%
drainpunch, 0.006160695376591718%
protect, 0.0037408023974286903%
detect, 0.003349647576320493%

focussash, 98.73091057413532%
blackbelt, 1.1755119950223314%
fistplate, 0.048450448858798706%
safetygoggles, 0.021632195586665973%
mentalherb, 0.011741724813773105%

innerfocus, 99.96532939497274%
regenerator, 0.03467060502723328%
reckless, 0.0%

Jolly:4/252/0/0/0/252, 60.741140569661624%
Adamant:4/252/0/0/0/252, 14.595176688227799%
Jolly:0/252/0/0/4/252, 12.433193121875707%
Adamant:0/252/0/0/4/252, 6.284189288284417%
Adamant:0/252/4/0/0/252, 5.029200482752757%
Jolly:0/252/4/0/0/252, 0.48658116533914314%
Jolly:4/244/4/0/4/252, 0.40185203452249146%
Jolly:0/252/0/0/0/252, 0.009640062046470747%
Jolly:0/228/0/0/0/156, 0.0061579052997664556%

