hurricane, 99.99475651034516%
weatherball, 99.21817694910457%
wideguard, 98.17580646725082%
protect, 72.83317003951544%
helpinghand, 21.188940984401754%
tailwind, 7.595714249716859%
muddywater, 0.3854502991124154%
uturn, 0.32258532186238187%
mist, 0.10279226432739608%
surf, 0.06775516442924488%
hydropump, 0.045029147359849246%
roost, 0.02565813514954292%
icywind, 0.015255335702324499%
icebeam, 0.014864464899309125%

focussash, 49.63442278760313%
covertcloak, 22.00671456337784%
rockyhelmet, 19.180541376936723%
safetygoggles, 5.88192642283453%
ironball, 2.410230660673809%

drizzle, 99.80909796714201%
keeneye, 0.18770246152317804%
raindish, 0.003199571334978058%

Timid:4/0/0/252/0/252, 20.298344960244158%
Timid:0/0/4/252/0/252, 15.667482915349467%
Modest:220/0/4/36/12/236, 8.509824917769047%
Modest:4/0/0/252/0/252, 8.177893370306315%
Modest:252/0/4/116/92/44, 3.7956683809930225%
Modest:252/0/36/76/140/4, 2.6545032633378316%
Modest:228/0/4/36/4/236, 2.4981887483196097%
Modest:252/0/0/116/140/0, 2.489715478101257%
Modest:108/0/28/116/4/252, 1.9206568384548177%

