spore, 98.16883691986536%
followme, 97.41356904731809%
fakeout, 90.62392304781635%
wideguard, 64.74787629638963%
decorate, 34.810176180495475%
spikyshield, 10.20069259204756%
feint, 1.3581156792296205%
instruct, 0.5540218078246729%
transform, 0.42250917028187773%
trick, 0.41155379167984174%
endeavor, 0.26384326003077463%
trickroom, 0.25359305235686375%
foulplay, 0.23367711543661376%
mudshot, 0.17709342332426928%

focussash, 97.70093713161701%
safetygoggles, 1.197685684852465%
choicescarf, 0.7201057113191682%
mentalherb, 0.25850142098321993%
covertcloak, 0.06113732304206108%

moody, 62.002036653710746%
owntempo, 33.339160631873256%
technician, 4.658802714416194%

Relaxed:252/0/252/0/4/0, 21.04569466955852%
Jolly:252/4/0/0/0/252, 17.141800314729075%
Jolly:20/0/236/0/0/252, 11.062624493364941%
Jolly:252/0/4/0/0/252, 10.133326070197517%
Jolly:100/4/76/0/76/252, 5.08386754110889%
Jolly:4/0/252/0/0/252, 5.006058810946723%
Jolly:0/0/252/0/4/252, 4.836271395119257%
Timid:252/0/4/0/0/252, 4.243047352176692%
Timid:244/0/4/0/4/252, 3.91091763577142%

