eruption, 98.26962213643492%
protect, 79.21097084051834%
flamethrower, 65.40638876808565%
helpinghand, 48.19367983550894%
heatwave, 39.785306588361834%
weatherball, 28.24448667890234%
earthpower, 26.254292488815782%
clearsmog, 5.442105552253792%
overheat, 2.9334510712864863%
solarbeam, 2.3013071494612376%
bodypress, 1.8062326224666934%
yawn, 0.9390691446944651%
gyroball, 0.45745578168982054%
earthquake, 0.45273959684384807%

charcoal, 80.29968907598034%
choicespecs, 15.757648825884269%
ejectpack, 1.9863647787111087%
lifeorb, 0.8288396249128943%
assaultvest, 0.4527468968168293%

drought, 99.6926595351449%
whitesmoke, 0.30734031160061837%
shellarmor, 1.5325446697919595e-07%

Quiet:252/0/0/252/4/0, 87.24961629504845%
Quiet:252/0/4/252/0/0, 4.756070280686912%
Quiet:252/0/0/252/0/0, 2.171714704783013%
Quiet:236/0/0/252/20/0, 1.262015658408741%
Relaxed:252/0/4/0/252/0, 1.0663224061483472%
Quiet:4/0/0/252/252/0, 0.9227676487608379%
Modest:252/0/4/252/0/0, 0.5438260910686818%
Quiet:196/0/0/172/140/0, 0.4491253855445591%
Quiet:252/0/0/244/12/0, 0.41591163443132384%

