bloodmoon, 99.90446055637231%
hypervoice, 99.58611912264772%
earthpower, 99.53081611692906%
protect, 99.08279383561744%
vacuumwave, 0.6966966202484962%
sleeptalk, 0.3502848963238391%
hyperbeam, 0.24492205806513684%
calmmind, 0.1999954958654404%
moonlight, 0.15250787237253738%
moonblast, 0.14276058393026816%
helpinghand, 0.059561861499159034%
uproar, 0.030804948447928856%
roar, 0.012179282731717821%
snarl, 0.002534790987494262%

lifeorb, 96.4988654364536%
silkscarf, 1.5542311838253642%
roomservice, 0.6642796709421475%
throatspray, 0.6077338265078382%
leftovers, 0.4370424314071456%

mindseye, 100.0%

Quiet:244/0/0/252/12/0, 17.93973349904112%
Timid:4/0/0/252/0/252, 14.480264680179896%
Modest:4/0/4/252/4/244, 10.471096141576279%
Modest:4/0/0/252/0/252, 8.3550366159028%
Modest:4/0/4/244/4/252, 6.687725260403986%
Modest:244/0/0/244/0/20, 5.109025652970132%
Modest:244/0/4/252/4/4, 2.4148140486604417%
Modest:252/0/0/252/4/0, 2.2437562376818168%
Modest:4/0/68/244/4/188, 1.9238064537335484%

