protect, 99.94306787134309%
facade, 99.60462755173975%
headlongrush, 97.4500117935829%
earthquake, 61.76960544278646%
swordsdance, 26.29063033199731%
substitute, 5.734503776450862%
bulkup, 5.034087294310666%
roar, 0.7128583168468514%
highhorsepower, 0.616559971925764%
shadowclaw, 0.563469012622188%
rockslide, 0.3665778362628393%
playrough, 0.3202449719530944%
yawn, 0.31336462215212446%
brickbreak, 0.30637695399500636%

flameorb, 99.97706266678146%
choiceband, 0.015807793679062515%
assaultvest, 0.005708988266779598%
leftovers, 0.0010146955557634324%
clearamulet, 0.0004045629984542825%

guts, 99.9842239329381%
bulletproof, 0.015755796281256746%
unnerve, 2.027078068607812e-05%

Brave:252/252/0/0/4/0, 40.72521937565398%
Brave:252/204/0/0/52/0, 11.854955709903187%
Brave:236/252/20/0/0/0, 8.908667734573939%
Brave:140/252/52/0/60/0, 4.831494595987527%
Brave:252/252/4/0/0/0, 3.888889287310489%
Brave:252/156/0/0/100/0, 3.588425617914088%
Adamant:252/156/4/0/12/84, 3.043390712691056%
Brave:140/156/0/0/212/0, 2.948355361550956%
Brave:140/252/0/0/116/0, 2.693342617556792%

